No,Time,Source,Destination,Protocol,Length,Info
10058,376.128890,192.168.1.100,157.240.15.35,TCP,54,"45678 > 443 [ACK]"
10059,376.130234,192.168.1.100,157.240.15.35,TLSv1.3,517,"Client Hello"
10060,376.131567,157.240.15.35,192.168.1.100,TLSv1.3,2874,"Server Hello, Change Cipher Spec, Application Data"
10061,376.132890,192.168.1.100,157.240.15.35,TLSv1.3,138,"Change Cipher Spec, Application Data"
10062,376.134234,192.168.1.100,157.240.15.35,TLSv1.3,1514,"Application Data"
10063,376.135567,157.240.15.35,192.168.1.100,TCP,66,"443 > 45678 [ACK]"
10064,376.136890,10.0.0.200,10.0.0.201,SMB,245,"Negotiate Protocol Request"
10065,376.138234,10.0.0.201,10.0.0.200,SMB,312,"Negotiate Protocol Response"
10066,376.139567,192.168.1.75,192.168.1.76,LLMNR,73,"Standard query A workstation01"
10067,376.140890,192.168.1.76,255.255.255.255,LLMNR,73,"Standard query response A workstation01"
10068,376.142234,172.16.50.10,172.16.50.20,MySQL,234,"Login Request user='admin'"
10069,376.143567,172.16.50.20,172.16.50.10,MySQL,87,"Response OK"
10070,376.144890,172.16.50.10,172.16.50.20,MySQL,145,"Query SELECT * FROM users"
10071,376.146234,172.16.50.20,172.16.50.10,MySQL,2847,"Response Tabular"
10072,376.147567,192.168.1.100,192.168.1.1,TCP,54,"56789 > 80 [FIN, ACK]"
10073,376.148890,192.168.1.1,192.168.1.100,TCP,54,"80 > 56789 [FIN, ACK]"
10074,376.150234,192.168.1.100,192.168.1.1,TCP,54,"56789 > 80 [ACK]"
10075,376.151567,10.0.0.50,10.0.0.1,UDP,512,"Source port: 5000 Destination port: 5001"
10076,376.152890,192.168.1.100,192.168.1.200,RTP,214,"PT=PCMU, SSRC=0x12345678"
10077,376.154234,192.168.1.200,192.168.1.100,RTCP,96,"Sender Report"
10078,376.155567,192.168.1.50,192.168.1.51,TFTP,69,"Read Request, File: config.txt"
10079,376.156890,192.168.1.51,192.168.1.50,TFTP,516,"Data Packet, Block: 1"
10080,376.158234,192.168.1.50,192.168.1.51,TFTP,52,"Acknowledgement, Block: 1"
10081,376.159567,172.16.0.100,172.16.0.200,Telnet,67,"Data: ls -la"
10082,376.160890,172.16.0.200,172.16.0.100,Telnet,1420,"Data: directory listing"
10083,376.162234,192.168.1.100,52.85.123.45,HTTPS,145,"Continuation"
10084,376.163567,52.85.123.45,192.168.1.100,TCP,1514,"443 > 49876 [ACK]"
10085,376.164890,192.168.1.25,239.255.255.250,SSDP,189,"M-SEARCH * HTTP/1.1"
10086,376.166234,2600:1901:1:b05::,2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236,TLSv1.3,812,"Application Data"
10087,376.167567,2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236,2600:1901:1:b05::,TCP,86,"60888 > 443 [ACK]"
10088,376.168890,10.0.0.100,10.0.0.200,PostgreSQL,178,"Query: SELECT version()"
10089,376.170234,10.0.0.200,10.0.0.100,PostgreSQL,245,"Query Response"
10090,376.171567,192.168.1.100,192.168.1.1,HTTP,423,"POST /api/login HTTP/1.1"
10091,376.172890,192.168.1.1,192.168.1.100,HTTP,187,"HTTP/1.1 200 OK (application/json)"
10092,376.174234,172.16.0.50,172.16.0.51,VNC,134,"FramebufferUpdate"
10093,376.175567,172.16.0.51,172.16.0.50,VNC,78,"FramebufferUpdateRequest"
10094,376.176890,192.168.1.100,104.16.132.229,QUIC,1292,"Protected Payload (KP0)"
10095,376.178234,104.16.132.229,192.168.1.100,QUIC,1292,"Protected Payload (KP1)"
10096,376.179567,10.0.0.75,10.0.0.76,SIP,567,"INVITE sip:user@domain.com"
10097,376.180890,10.0.0.76,10.0.0.75,SIP,234,"100 Trying"
10098,376.182234,10.0.0.76,10.0.0.75,SIP,398,"200 OK"
10099,376.183567,10.0.0.75,10.0.0.76,SIP,187,"ACK sip:user@domain.com"
10100,376.184890,192.168.1.100,192.168.1.1,TCP,54,"58901 > 22 [RST]"
